Neighborhood,Year,Num of Total Incidents,Num of Assaults,Num of Burglaries,Num of Disorderly Conduct Offenses,Num of Drug/Narcotic Offenses,Num of Fraud Offenses,Num of Larceny/Theft Offenses,Num of Malicious Mischief Offenses,Number of Missing Persons,Num of Motor Vehicle Thefts,Num of Non-Criminal Offenses,Num of Robberies,Num of Suspicious Occ,Num of Vandalism Offenses,Num of Warrants,Num of Weapons Offenses,Num of Severity Category 0,Num of Severity Category 1,Num of Severity Category 2,Num of Severity Category 3,Num of Pit Stops,Location Coordinates,Latitude,Longitude,Location ID
Tenderloin,2008,9272,819,134,137,2509,112,808,0,64,86,649,209,196,163,683,81,2157,3865,86,3164,0,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
All,2009,61127,5504,2423,437,5286,1110,11318,0,945,2363,5575,1579,2002,3393,2573,584,24310,16539,1223,19055,0,,,,
Bayview Hunters Point,2009,4018,522,208,11,266,35,307,0,93,190,233,121,196,287,136,77,1478,1010,140,1390,0,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2009,1605,162,82,7,73,51,362,0,14,92,164,60,52,87,62,7,781,364,20,440,0,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
Financial District/South Beach,2009,3613,243,208,20,63,88,1415,0,20,100,349,82,82,161,97,7,2084,634,27,868,0,"[-122.392429, 37.793835]",37.78912545,-122.4013418,94111
Golden Gate Park,2009,735,30,3,2,148,2,202,0,8,22,59,11,13,22,41,8,273,218,11,233,0,"[-122.4700014, 37.76961699]",37.76961699,-122.4700014,94121
Haight Ashbury,2009,1137,71,38,22,125,16,141,0,24,44,109,22,41,64,78,8,343,370,27,397,0,"[-122.4430863, 37.76906862]",37.76906862,-122.4430863,94117
Inner Sunset,2009,667,43,29,1,14,18,168,0,17,48,76,21,33,57,9,4,321,155,21,170,0,"[-122.4639968, 37.76188868]",37.76188868,-122.4639968,94122
Mission,2009,7378,752,159,107,626,91,887,0,110,273,656,220,225,353,367,73,2412,2254,134,2578,0,"[-122.405212, 37.763469]",37.76137927,-122.4166019,94110
North Beach,2009,1311,118,44,10,25,23,434,0,7,45,184,25,29,75,28,7,680,241,12,378,0,"[-122.415375, 37.809166]",37.80445731,-122.4111065,94133
South of Market,2009,7292,557,193,14,721,196,1642,0,124,126,819,158,193,290,450,62,2779,1884,131,2498,0,"[-122.405629, 37.778502]",37.77789188,-122.4070885,94103
Sunset/Parkside,2009,1719,154,61,6,84,47,284,0,37,109,216,30,99,167,29,15,669,524,48,478,0,"[-122.46085, 37.762616]",37.74944528,-122.4921961,94122
Tenderloin,2009,9529,784,136,189,2455,110,773,0,79,65,698,200,197,209,717,98,2086,3834,98,3511,0,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
All,2010,57970,5410,2190,366,3986,1195,10787,0,1397,1955,6212,1468,2655,3443,2748,542,23020,15112,1666,18172,0,,,,
Bayview Hunters Point,2010,3923,513,185,7,209,38,297,0,224,156,230,106,201,286,176,90,1403,937,267,1316,0,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2010,1508,154,53,3,76,39,391,0,23,52,150,49,67,105,66,13,724,363,28,393,0,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
Financial District/South Beach,2010,3741,209,190,15,48,157,1351,0,41,67,426,88,143,193,127,12,1930,740,52,1019,0,"[-122.392429, 37.793835]",37.78912545,-122.4013418,94111
Golden Gate Park,2010,549,26,3,2,78,5,118,0,3,13,70,7,27,29,40,4,169,160,4,216,0,"[-122.4700014, 37.76961699]",37.76961699,-122.4700014,94121
Haight Ashbury,2010,1025,67,34,9,115,20,123,0,27,51,115,13,48,67,90,10,303,318,30,374,0,"[-122.4430863, 37.76906862]",37.76906862,-122.4430863,94117
Inner Sunset,2010,604,51,33,1,10,24,131,0,17,33,71,5,47,44,18,3,264,157,18,165,0,"[-122.4639968, 37.76188868]",37.76188868,-122.4639968,94122
Mission,2010,6898,650,145,120,587,72,986,0,139,200,172,188,263,330,389,71,2324,2089,166,2319,0,"[-122.405212, 37.763469]",37.76137927,-122.4166019,94110
