400 Block of VALENCIA ST,20,2,3,5,SECONDARY CODES,15200,7/22/2009 0:00,Wednesday,DOMESTIC VIOLENCE,90747096,1/1/1900 18:55,2009,37.76612595,-122.422073,MISSION,"ARREST, BOOKED",37,0,Mission,"-122.422073, 37.76612595",1
700 Block of RUTLAND ST,40,2,9,9,WARRANTS,62050,5/22/2007 0:00,Tuesday,ENROUTE TO OUTSIDE JURISDICTION,70521111,1/1/1900 15:09,2007,37.71289777,-122.4072703,INGLESIDE,"ARREST, BOOKED",75,3,Visitacion Valley,"-122.4072703, 37.71289777",1
1400 Block of MARKET ST,36,2,5,10,ROBBERY,3044,8/2/2003 0:00,Saturday,ROBBERY OF A CHAIN STORE WITH BODILY FORCE,30912663,1/1/1900 16:04,2003,37.77589845,-122.4184806,SOUTHERN,"ARREST, BOOKED",21,0,Tenderloin,"-122.41848059999998, 37.77589845",1
100 Block of ALBION ST,20,2,3,5,WARRANTS,63010,11/26/2007 0:00,Monday,WARRANT ARREST,71208811,1/1/1900 1:30,2007,37.76444477,-122.4228831,MISSION,"ARREST, BOOKED",37,3,Mission,"-122.4228831, 37.76444477",1
500 Block of 35TH AV,29,1,8,4,LARCENY/THEFT,6244,8/20/2010 0:00,Friday,GRAND THEFT FROM LOCKED AUTO,106103899,1/1/1900 11:00,2010,37.77861858,-122.4953051,RICHMOND,NONE,8,0,Outer Richmond,"-122.4953051, 37.77861858",1
800 Block of BRYANT ST,34,2,1,10,OTHER OFFENSES,27300,12/14/2012 0:00,Friday,MISCELLANEOUS STATE MISDEMEANOR,121005963,1/1/1900 9:15,2012,37.77542071,-122.4034048,SOUTHERN,"ARREST, CITED",32,3,South of Market,"-122.4034048, 37.77542071",1
MCALLISTER ST / CHARLES J BRENHAM PLORTH ST,36,2,5,10,DRUG/NARCOTIC,16100,4/3/2003 0:00,Thursday,POSSESSION OF HEROIN,30391857,1/1/1900 13:00,2003,37.78099483,-122.4131516,TENDERLOIN,"ARREST, BOOKED",20,1,Tenderloin,"-122.41315159999998, 37.78099483",1
3300 Block of MISSION ST,2,1,9,2,WARRANTS,62030,2/25/2005 0:00,Friday,ENROUTE TO PAROLE OFFICER,50220935,1/1/1900 17:20,2005,37.74299701,-122.4216445,INGLESIDE,"ARREST, BOOKED",83,3,Bernal Heights,"-122.4216445, 37.74299701",1
HAMPSHIRE ST / 24TH ST,20,1,3,2,OTHER OFFENSES,65016,9/11/2008 0:00,Thursday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",80964595,1/1/1900 15:25,2008,37.75290642,-122.4072942,MISSION,"ARREST, CITED",53,3,Mission,"-122.4072942, 37.75290642",1
800 Block of BRYANT ST,34,2,1,10,SUSPICIOUS OCC,64085,4/5/2012 0:00,Thursday,INVESTIGATIVE DETENTION,120271123,1/1/1900 9:17,2012,37.77542071,-122.4034048,SOUTHERN,NONE,32,1,South of Market,"-122.4034048, 37.77542071",1
